------------------------------------------------------------------------------------------------------------------------------------
                                                  RAPPORT DES FRAIS IMPAYES
------------------------------------------------------------------------------------------------------------------------------------
NUMERO   NOM                            SEXE  FRAIS DU  MONTANT PAY  SOLDE DU
------------------------------------------------------------------------------------------------------------------------------------
0000002  BERNARD LUCAS                  M    2,000       500.00   1,500.00
                                            Cours: CALC101
                                            Cours: STAT202
                                            Cours: ANAL303
0000001  DUPONT JEAN                    M    1,200     1,000.00     200.00
                                            Cours: PROG101
                                            Cours: WEB404
                                            Cours: ALGO202
0000005  DURAND PIERRE                  M    1,500       750.00     750.00
                                            Cours: PROG101
                                            Cours: BD303
0000004  MARTIN SOPHIE                  F    1,500       900.00     600.00
                                            Cours: PROG101
                                            Cours: ALGO202
                                            Cours: BD303
                                            Cours: RESX404
------------------------------------------------------------------------------------------------------------------------------------
                                                                           TOTAL IMPAYES      :   3,050.00
------------------------------------------------------------------------------------------------------------------------------------
